tool_name,scope,sample_type,attack_family,attack_name,rows_total,matched_rows,binary_rows,binary_interpretable_rows,unknown_rows,tp,fp,tn,fn,accuracy,balanced_accuracy,precision_weapon,recall_weapon,specificity_non_weapon,f1_weapon,false_negative_rate,false_positive_rate,ood_rows,ood_weapon_flags,ood_non_weapon_flags,ood_unknown,ood_weapon_flag_rate
magnet_axiom,sample_type_attack,perturbed,anti_forensic,gaussian_blur,1000,1000,1000,1000,0,440,13,487,60,0.927000,0.927000,0.971302,0.880000,0.974000,0.923400,0.120000,0.026000,0,0,0,0,
magnet_axiom,sample_type_attack,perturbed,anti_forensic,histogram_modification,1000,1000,1000,1000,0,460,24,476,40,0.936000,0.936000,0.950413,0.920000,0.952000,0.934959,0.080000,0.048000,0,0,0,0,
magnet_axiom,sample_type_attack,perturbed,anti_forensic,jpeg_recompression,1000,1000,1000,1000,0,464,20,480,36,0.944000,0.944000,0.958678,0.928000,0.960000,0.943089,0.072000,0.040000,0,0,0,0,
magnet_axiom,sample_type_attack,perturbed,anti_forensic,resample_resize,1000,1000,1000,1000,0,453,10,490,47,0.943000,0.943000,0.978402,0.906000,0.980000,0.940810,0.094000,0.020000,0,0,0,0,
xways_excire,all,all,all,all,11500,11500,11000,11000,0,5217,547,4953,283,0.924545,0.924545,0.905101,0.948545,0.900545,0.926314,0.051455,0.099455,500,170,330,0,0.340000
xways_excire,sample_type,clean,all,all,1000,1000,1000,1000,0,479,35,465,21,0.944000,0.944000,0.931907,0.958000,0.930000,0.944773,0.042000,0.070000,0,0,0,0,
xways_excire,sample_type,ood,all,all,500,500,0,0,0,0,0,0,0,,,,,,,,,500,170,330,0,0.340000
xways_excire,sample_type,perturbed,all,all,10000,10000,10000,10000,0,4738,512,4488,262,0.922600,0.922600,0.902476,0.947600,0.897600,0.924488,0.052400,0.102400,0,0,0,0,
xways_excire,attack_family,all,adversarial,all,5000,5000,5000,5000,0,2345,326,2174,155,0.903800,0.903800,0.877948,0.938000,0.869600,0.906981,0.062000,0.130400,0,0,0,0,
xways_excire,attack_family,all,anti_forensic,all,5000,5000,5000,5000,0,2393,186,2314,107,0.941400,0.941400,0.927879,0.957200,0.925600,0.942311,0.042800,0.074400,0,0,0,0,
xways_excire,attack_family,all,none,all,1500,1500,1000,1000,0,479,35,465,21,0.944000,0.944000,0.931907,0.958000,0.930000,0.944773,0.042000,0.070000,500,170,330,0,0.340000
xways_excire,attack_name,all,adversarial,color_shift,1000,1000,1000,1000,0,483,34,466,17,0.949000,0.949000,0.934236,0.966000,0.932000,0.949853,0.034000,0.068000,0,0,0,0,
xways_excire,attack_name,all,adversarial,fgsm,1000,1000,1000,1000,0,445,19,481,55,0.926000,0.926000,0.959052,0.890000,0.962000,0.923237,0.110000,0.038000,0,0,0,0,
xways_excire,attack_name,all,adversarial,one_pixel,1000,1000,1000,1000,0,482,36,464,18,0.946000,0.946000,0.930502,0.964000,0.928000,0.946955,0.036000,0.072000,0,0,0,0,
xways_excire,attack_name,all,adversarial,sigma_zero,1000,1000,1000,1000,0,463,221,279,37,0.742000,0.742000,0.676901,0.926000,0.558000,0.782095,0.074000,0.442000,0,0,0,0,
xways_excire,attack_name,all,adversarial,superdeepfool,1000,1000,1000,1000,0,472,16,484,28,0.956000,0.956000,0.967213,0.944000,0.968000,0.955466,0.056000,0.032000,0,0,0,0,
xways_excire,attack_name,all,anti_forensic,contrast_stretching,1000,1000,1000,1000,0,476,35,465,24,0.941000,0.941000,0.931507,0.952000,0.930000,0.941642,0.048000,0.070000,0,0,0,0,
xways_excire,attack_name,all,anti_forensic,gaussian_blur,1000,1000,1000,1000,0,480,39,461,20,0.941000,0.941000,0.924855,0.960000,0.922000,0.942100,0.040000,0.078000,0,0,0,0,
xways_excire,attack_name,all,anti_forensic,histogram_modification,1000,1000,1000,1000,0,476,44,456,24,0.932000,0.932000,0.915385,0.952000,0.912000,0.933333,0.048000,0.088000,0,0,0,0,
xways_excire,attack_name,all,anti_forensic,jpeg_recompression,1000,1000,1000,1000,0,479,33,467,21,0.946000,0.946000,0.935547,0.958000,0.934000,0.946640,0.042000,0.066000,0,0,0,0,
xways_excire,attack_name,all,anti_forensic,resample_resize,1000,1000,1000,1000,0,482,35,465,18,0.947000,0.947000,0.932302,0.964000,0.930000,0.947886,0.036000,0.070000,0,0,0,0,
xways_excire,attack_name,all,none,clean,1000,1000,1000,1000,0,479,35,465,21,0.944000,0.944000,0.931907,0.958000,0.930000,0.944773,0.042000,0.070000,0,0,0,0,
xways_excire,attack_name,all,none,ood,500,500,0,0,0,0,0,0,0,,,,,,,,,500,170,330,0,0.340000
xways_excire,sample_type_attack,clean,none,clean,1000,1000,1000,1000,0,479,35,465,21,0.944000,0.944000,0.931907,0.958000,0.930000,0.944773,0.042000,0.070000,0,0,0,0,
xways_excire,sample_type_attack,ood,none,ood,500,500,0,0,0,0,0,0,0,,,,,,,,,500,170,330,0,0.340000
xways_excire,sample_type_attack,perturbed,adversarial,color_shift,1000,1000,1000,1000,0,483,34,466,17,0.949000,0.949000,0.934236,0.966000,0.932000,0.949853,0.034000,0.068000,0,0,0,0,
xways_excire,sample_type_attack,perturbed,adversarial,fgsm,1000,1000,1000,1000,0,445,19,481,55,0.926000,0.926000,0.959052,0.890000,0.962000,0.923237,0.110000,0.038000,0,0,0,0,
xways_excire,sample_type_attack,perturbed,adversarial,one_pixel,1000,1000,1000,1000,0,482,36,464,18,0.946000,0.946000,0.930502,0.964000,0.928000,0.946955,0.036000,0.072000,0,0,0,0,
xways_excire,sample_type_attack,perturbed,adversarial,sigma_zero,1000,1000,1000,1000,0,463,221,279,37,0.742000,0.742000,0.676901,0.926000,0.558000,0.782095,0.074000,0.442000,0,0,0,0,
xways_excire,sample_type_attack,perturbed,adversarial,superdeepfool,1000,1000,1000,1000,0,472,16,484,28,0.956000,0.956000,0.967213,0.944000,0.968000,0.955466,0.056000,0.032000,0,0,0,0,
xways_excire,sample_type_attack,perturbed,anti_forensic,contrast_stretching,1000,1000,1000,1000,0,476,35,465,24,0.941000,0.941000,0.931507,0.952000,0.930000,0.941642,0.048000,0.070000,0,0,0,0,
xways_excire,sample_type_attack,perturbed,anti_forensic,gaussian_blur,1000,1000,1000,1000,0,480,39,461,20,0.941000,0.941000,0.924855,0.960000,0.922000,0.942100,0.040000,0.078000,0,0,0,0,
xways_excire,sample_type_attack,perturbed,anti_forensic,histogram_modification,1000,1000,1000,1000,0,476,44,456,24,0.932000,0.932000,0.915385,0.952000,0.912000,0.933333,0.048000,0.088000,0,0,0,0,
xways_excire,sample_type_attack,perturbed,anti_forensic,jpeg_recompression,1000,1000,1000,1000,0,479,33,467,21,0.946000,0.946000,0.935547,0.958000,0.934000,0.946640,0.042000,0.066000,0,0,0,0,
xways_excire,sample_type_attack,perturbed,anti_forensic,resample_resize,1000,1000,1000,1000,0,482,35,465,18,0.947000,0.947000,0.932302,0.964000,0.930000,0.947886,0.036000,0.070000,0,0,0,0,
